#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
50,"Half-Decade Hangover","Will Wood",0,144,""," In case I make it, ",2022-07-29,04:49,43,52,72,0,73,10,40,-10,G Major,4,2025-07-24,6ylTtRewDvpgGvMlgRKg0N,9B,GBRKQ2263349
51,"Thermodynamic Lawyer - Live","Will Wood and the Tapeworms",0,109,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:48,32,91,13,0,65,0,90,-3,F Major,4,2025-07-24,27sSV7zJHu9A110gIl1ixw,7B,USCGH2075521
52,"The First Step - Live","Will Wood and the Tapeworms",0,95,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:23,45,88,24,0,37,10,70,-5,A#/B♭ Major,4,2025-07-24,1Hf2V5LzDr9YGi3MbeOOjx,6B,USCGH2075525
53,"Self- - Live","Will Wood and the Tapeworms",0,108,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:58,39,27,68,0,16,0,80,-15,C Major,5,2025-07-24,0wyu2QSdjRTPZgpjpBZBG0,8B,USCGH2075515
54,"10-4 6-up 5-Oh Cop-out Pro-Con - Live","Will Wood and the Tapeworms",0,117,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,03:47,41,97,9,0,56,10,90,-3,D Major,4,2025-07-24,43sayaCB3ccTMRwHi9Sbxj,10B,USCGH2075516
55,"Cotard's Solution [Kill Me?] - Live","Will Wood and the Tapeworms",0,99,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,05:05,39,97,6,0,35,10,70,-3,C Minor,4,2025-07-24,1yUlg64oLCxOAwZP8qdwuI,5A,USCGH2075517
56,"Dr. Sunshine Lives! - Live","Will Wood and the Tapeworms",0,117,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:46,34,94,2,0,26,10,10,-5,G Minor,3,2025-07-24,1shOY6y7tsvqIoMiz8sZrm,6A,USCGH2075518
57,"Where Do You Get Off? - Live","Will Wood and the Tapeworms",0,130,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:22,31,92,19,0,40,10,70,-5,C Major,4,2025-07-24,317Zt1FjHJ7lZ2xPUF2DXE,8B,USCGH2075519
58,"Aikido - Live","Will Wood and the Tapeworms",0,150,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,02:31,27,80,51,0,24,0,80,-7,G Major,4,2025-07-24,0glsxEUqnV2z5ZUCED46Ab,9B,USCGH2075520
59,"Front Street - Live","Will Wood and the Tapeworms",0,148,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,05:06,32,95,10,0,46,10,60,-3,C Major,4,2025-07-24,5eFGLi3MQZqsOBsPuEmpri,8B,USCGH2075522
60,"Hand Me My [X] I'm [Y]! - Live","Will Wood and the Tapeworms",0,135,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,06:36,30,96,15,0,27,20,20,-4,E Minor,4,2025-07-24,0upKFNE9I1ZpffJG8MXjUt,9A,USCGH2075524
61,"2012 - Live","Will Wood and the Tapeworms",0,131,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:15,35,95,10,0,29,10,90,-5,F Major,4,2025-07-24,19zUxFqohYg0TaMhLD7xbl,7B,USCGH2075526
62,"-ish - Live","Will Wood and the Tapeworms",0,141,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,02:32,29,44,32,0,34,0,60,-10,C Major,4,2025-07-24,1xKWf4Rmjn3isPz1LHL7yn,8B,USCGH2075530
63,"Wasting Away Again in Bupropionville - Live","Will Wood and the Tapeworms",0,122,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,02:36,50,69,49,0,35,0,60,-6,C Major,4,2025-07-24,2jnVfUfdYbCf6Xxd3WVyJl,8B,USCGH2075523
64,"Mr. Capgras - Live","Will Wood and the Tapeworms",0,138,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:19,43,97,8,0,69,10,60,-3,C Major,4,2025-07-24,6Wc6w92n5UplMRJg7Lp5VF,8B,USCGH2075527
65,"...And If I Did, You Deserved It. ( In case I make it,  Outtake) - Live at Knitting Factory, Spokane, WA","Will Wood",0,127,"","IN CASE I DIE (Live)",2023-01-13,03:53,67,24,84,0,63,10,90,-13,C Major,4,2025-07-24,0lIJ6gNmGNpjB3MWUhcxXY,8B,QZWDD2294476
66,"Rivers Is a Vampire","Bear Ghost,Dan E.T.",56,100,"","Jiminy",2023-09-22,03:05,70,91,1,0,64,0,0,-4,C♯/D♭ Minor,4,2025-07-24,7L4aAOvI2j3kI556R2do4i,12A,QZFYY2321838
67,"Against the Kitchen Floor","Will Wood",0,120,""," In case I make it, ",2022-07-29,05:06,65,78,42,0,61,0,10,-4,G Major,4,2025-07-24,12mfRQYsEi3PxLRaG3Xab9,9B,GBRKQ2244593
68,"That's Enough, Let's Get You Home.","Will Wood",0,91,""," In case I make it, ",2022-07-29,03:51,41,62,88,0,30,0,0,-6,G Major,4,2025-07-24,2dAwsBcZgVmjrSXeNi3qeU,9B,GBRKQ2263800
69,"Turn the Lights Off","Tally Hall",65,189,"","Good & Evil",2011-06-21,02:56,39,70,14,0,77,0,10,-7,F#/G♭ Major,4,2025-07-24,3xpdefOloYCBXd3UR6MVyM,2B,TCAAX1184873
70,"Love, Me Normally","Will Wood",58,113,"","The Normal Album",2020-07-10,05:44,59,63,40,0,51,0,30,-7,F Major,3,2025-07-24,49StY6V4Cus0xM0GhieSrT,7B,QZKWA2004474
71,"Don't Say Yes Until I Finish Talking (SMASH Cast Version) (feat. Christian Borle)","SMASH Cast,Christian Borle",43,140,"musicals","BOMBSHELL",2011-00-00,02:42,59,65,19,0,42,40,0,-7,C♯/D♭ Major,4,2025-07-24,0O8YumhxTQOs3hvsMCtVH0,3B,USQX91200509
72,"Chemical Overreaction - Live","Will Wood and the Tapeworms",0,103,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:40,37,95,2,0,11,10,40,-5,A Major,4,2025-07-24,2GPEkwZxSTAcD2PmmD2n4F,11B,USCGH2075528
73,"Fibrodysplasia Ossificans Progressiva - Live","Will Wood and the Tapeworms",0,131,"","The Real Will Wood (Music from the Award-Winning Concert Film) [Live]",2020-02-07,04:37,39,79,41,0,39,0,50,-5,C Major,4,2025-07-24,0Llz3Cn1nniovCRa20liJj,8B,USCGH2075529
74,"Rim Tim Tagi Dim","Baby Lasagna",67,128,"europop","Rim Tim Tagi Dim",2024-01-12,02:59,59,87,0,0,58,0,40,-7,A Major,4,2025-07-24,5TswDbxMnxptgFTf6ZxvXQ,11B,AT2DY2400003
75,"No Rules!","Windows95Man",56,160,"","No Rules!",2024-01-16,02:55,49,95,3,0,62,0,30,-5,B Minor,4,2025-07-24,4QWrK6lpr8rZ6sa8ymqMrq,10A,FIACQ2400001
76,"WEBKINZLID NYA NYA DANCE","MAILPUP,sixwing",40,175,"speedcore, breakcore, hyperpop","WEBKINZLID NYA NYA DANCE",2023-06-30,01:33,55,95,8,0,77,20,30,-9,B Major,4,2025-07-24,50nI2pLf41U0IKg4ZDCoEN,1B,QZMEQ2367312
77,"HEWWO KITTY! >:3c","MAILPUP",39,167,"speedcore, breakcore, hyperpop","STAY @ HOME SUMMER 2020",2020-09-23,01:47,52,76,30,0,52,30,70,-9,D Major,4,2025-07-24,6QzR7hHziidwXzf6qGQ8f6,10B,QZK6H2059995
78,"¡Aikido! (Neurotic / Erotic)","Will Wood and the Tapeworms",47,73,"","Everything is a Lot",2015-05-20,02:12,65,56,79,0,47,0,10,-5,G Major,4,2025-07-24,0ebTM7rfymiqJKaZdTkzCf,9B,QMAAK1576504
79,"White Knuckle Jerk (Where Do You Get Off?)","Will Wood and the Tapeworms",51,134,"","Everything is a Lot",2015-05-20,03:49,45,77,13,0,37,0,10,-6,F Minor,4,2025-07-24,45RTHDstUcE7oHG2gKErQS,4A,QMAAK1576505
80,"Cover This Song (A Little Bit Mine)","Will Wood and the Tapeworms",51,142,"","Everything is a Lot",2015-05-20,03:57,51,92,20,0,49,0,10,-5,C Major,4,2025-07-24,4nnlGdiNs0K08hU3Gfh3ju,8B,QMAAK1576506
81,"Thermodynamic Lawyer Esq, G.F.D.","Will Wood and the Tapeworms",58,104,"","Everything is a Lot",2015-05-20,03:39,33,94,0,0,47,0,80,-3,C Major,4,2025-07-24,7qEG0YfQU1GEcBI9CEA4Sk,8B,QMAAK1576507
82,"Red Moon","Will Wood and the Tapeworms",51,146,"","Everything is a Lot",2015-05-20,04:08,38,93,1,1,73,0,30,-4,G Minor,4,2025-07-24,080cWGLrooY09KyQmNBVCC,6A,QMAAK1576508
83,"Lysergide Daydream","Will Wood and the Tapeworms",48,126,"","Everything is a Lot",2015-05-20,03:26,51,86,34,0,56,10,10,-4,F Major,4,2025-07-24,5MPmkqWtKncCnF7B9baAZu,7B,QMAAK1576509
84,"Jimmy Mushrooms' Last Drink: Bedtime in Wayne, NJ","Will Wood and the Tapeworms",47,118,"","Everything is a Lot",2015-05-20,02:49,44,72,40,0,52,0,30,-7,C Major,4,2025-07-24,4LJ6JmDeeTKSGQfuBdOjaG,8B,QMAAK1576511
85,"Chemical Overreaction / Compound Fracture","Will Wood and the Tapeworms",43,107,"","Everything is a Lot",2015-05-20,03:22,34,96,0,1,36,10,10,-3,A Minor,4,2025-07-24,0VEudopYbdXd02eCfkUrSI,8A,QMAAK1576512
86,"Everything is a Lot","Will Wood and the Tapeworms",43,111,"","Everything is a Lot",2015-05-20,05:26,39,97,85,0,4,50,50,-8,F Major,3,2025-07-24,3ukzDb9wo55kXEGP0Tkkd2,7B,QMAAK1576513
87,"Sirens","Bear Ghost",53,155,"","Jiminy",2023-09-22,03:38,59,98,1,0,62,0,40,-3,F#/G♭ Major,4,2025-07-24,1thm5WKLGW8Mbl1C5UXElO,2B,QZFYX2017091
88,"After Me, the Flood","Bear Ghost",44,150,"","Jiminy",2023-09-22,02:31,60,28,32,0,12,0,70,-9,B Minor,3,2025-07-24,4kQPoOYK6HJ0bynwb54p19,10A,TCAHK2354086
89,"Heavy News","Bear Ghost",50,160,"","Jiminy",2023-09-22,04:24,58,91,0,0,65,0,0,-4,G#/A♭ Major,4,2025-07-24,36JwUkXgO08RPV6FVNfLuh,4B,TCAHK2354090
90,"Big Town Banky Blaine's Rockabilly Bbq","Bear Ghost",53,135,"","Jiminy",2023-09-22,03:46,67,96,3,0,60,10,20,-4,F#/G♭ Major,4,2025-07-24,5xqNQ99qlWabj14s8s7eBF,2B,QZNWX2082869
91,"Bark Skinpson","Bear Ghost",43,154,"","Jiminy",2023-09-22,02:00,58,77,19,0,54,10,20,-5,D Major,4,2025-07-24,3tTQ86hxXgjh6pWVlI1gB8,10B,TCAHK2354146
92,"The Mario Cliché","Bear Ghost",53,145,"","Jiminy",2023-09-22,03:59,58,91,1,0,82,0,30,-4,F#/G♭ Minor,4,2025-07-24,4atoVaweAZGR0nEUZseIC0,11A,TCAHK2354151
93,"When I'm Dead","Bear Ghost",47,175,"","Jiminy",2023-09-22,03:27,53,92,2,0,54,0,20,-3,C♯/D♭ Major,4,2025-07-24,6aqzJrCtCbtGSRgPKfY22r,3B,TCAHK2354154
94,"Vulture","Bear Ghost",46,90,"","Jiminy",2023-09-22,06:54,28,42,11,0,6,0,10,-8,C♯/D♭ Minor,4,2025-07-24,2SAfMlUSWns2JfLNO4qZNq,12A,TCAHK2354160
95,"Starkiller","Bear Ghost",55,175,"","Blasterpiece",2016-02-18,03:49,52,87,0,0,84,0,30,-6,B Minor,4,2025-07-24,7azVZvIvANuD4sLlwqs2g2,10A,TCACL1682269
96,"12 Years Howled","Bear Ghost",40,160,"","Your Parents Are Only Marginally Disappointed in Your Musical Taste",2014-04-18,03:53,51,86,0,0,80,0,30,-4,G Major,4,2025-07-24,60TBe5km9ctrF3322sXZoO,9B,USHM21428214
97,"Haunt, The Cartoon Heart","Bear Ghost",50,160,"","Haunt, The Cartoon Heart",2019-04-11,03:38,63,86,0,0,84,0,0,-6,B Major,4,2025-07-24,07wdHt1i1Mhba54cjKvDM1,1B,QZDA41968838
98,"White Noise","Will Wood",48,141,""," In case I make it, ",2022-07-29,04:37,62,38,82,0,51,0,10,-8,C Major,4,2025-07-24,5dze8GLBwiFN49Ezvo2Rzv,8B,GBRKQ2205028
99,"ENTER: A BEGINNER'S GUIDE TO FAKING YOUR DEATH","Jhariah",48,131,"","A BEGINNER'S GUIDE TO FAKING YOUR DEATH",2021-07-23,01:31,51,89,0,2,36,0,30,-5,C Major,4,2025-07-24,1O1ZkNSbPDt85E1G6okPZ8,8B,QZK6P2139530
100,"BAD LUCK!","Jhariah",51,98,"","A BEGINNER'S GUIDE TO FAKING YOUR DEATH",2021-07-23,03:33,29,41,13,0,10,0,10,-7,D Major,1,2025-07-24,28ZpzsVOYqWvcwuN2ZtBPg,10B,QZK6P2139536
101,"PRESSURE BOMB 3?!?!","Jhariah",44,110,"","A BEGINNER'S GUIDE TO FAKING YOUR DEATH",2021-07-23,03:16,51,88,0,0,35,0,30,-6,G Major,4,2025-07-24,2QZbSC8GZPSLXVL4ezviiL,9B,QZK6P2139532
102,"RISK, RISK, RISK!","Jhariah",52,146,"","TRUST CEREMONY",2024-04-19,03:21,50,85,1,0,72,10,60,-5,C♯/D♭ Major,4,2025-07-24,3ekN6ytJmlh5y93ChIqOtA,3B,QZGLS2472361
103,"A Human's Touch","TWRP,McKenna Rae",57,113,"","A Human's Touch",2024-03-01,04:51,58,73,4,0,48,0,20,-6,D Minor,4,2025-07-24,5IZXc9t8332oSnpwq4MnZx,7A,CAOPL2400074
104,"The Steven Bradley","Bear Ghost",38,77,"","Your Parents Are Only Marginally Disappointed in Your Musical Taste",2014-04-18,04:28,52,89,0,0,37,10,90,-5,G Minor,4,2025-07-24,01ojrRBqkPphAmFzg47M6W,6A,USHM21428211
105,"Bob Loblaw","Bear Ghost",38,134,"","Your Parents Are Only Marginally Disappointed in Your Musical Taste",2014-04-18,03:27,68,69,0,0,74,0,0,-5,G Major,4,2025-07-24,7KerlqaYZf4qIsOBaS9z86,9B,USHM21428213
106,"I / Me / Myself - 2018 Live in Studio Demo","Will Wood",35,176,"","Laplace's Angel - 2018 Live in Studio Demo",2024-07-29,05:00,38,95,32,0,63,20,0,-3,G Major,4,2025-07-24,1fTf4Kn5y9JhbHDwVRuvtP,9B,QZTAY2409571
107,"Memento Mori - 2018 Live in Studio Demo","Will Wood",30,119,"","Laplace's Angel - 2018 Live in Studio Demo",2024-07-29,04:41,61,45,96,0,44,0,10,-6,F Major,4,2025-07-24,10var1PDdHQObVMyCJorG8,7B,QZTAY2478910
108,"Laplace's Angel - 2018 Live in Studio Demo","Will Wood",32,151,"","Laplace's Angel - 2018 Live in Studio Demo",2024-07-29,04:23,52,89,42,0,61,10,50,-4,A Minor,4,2025-07-24,77DsJspEVEfEX9vlwbY6LE,8A,QZTAY2478909
109,"White Ball","Miracle Musical",57,144,"","Hawaii: Part II",2012-12-12,03:35,64,53,16,2,66,0,10,-7,F#/G♭ Major,4,2025-07-24,5djzvjJY39rwAQaHgpPR02,2B,TCACB1435452
110,"Isle Unto Thyself","Miracle Musical",57,148,"","Hawaii: Part II",2012-12-12,03:47,59,88,3,23,38,10,10,-7,C Minor,4,2025-07-24,19siCk4vlsMuzQmLTwi5yt,5A,TCACB1435449
111,"Flight of the Crows","Jhariah",56,98,"","A BEGINNER'S GUIDE TO FAKING YOUR DEATH",2021-07-23,02:38,52,79,0,0,28,0,10,-5,C♯/D♭ Major,3,2025-07-24,2SgpLPEfLGWDMkCT9nFAO6,3B,QZK6P2139537
112,"PIN-EYE","Jhariah",47,110,"","TRUST CEREMONY",2024-04-19,04:32,42,94,9,0,37,10,20,-3,G#/A♭ Major,4,2025-07-24,6LtAm4AgpT6CMz2kvJNyjw,4B,QZGLS2472363
113,"Aikido on the Kitchen Floor is Kind of a Lot","Jayden Wark",28,119,"","Aikido on the Kitchen Floor is Kind of a Lot",2023-03-18,05:20,61,53,46,0,59,0,30,-10,G Major,4,2025-07-24,2s8vQPOSF79NOnftIZ9WF5,9B,QZPJ32243528
114,"Well, Better Than The Dialectics, But I Prefer You Use I/Me/Myself (Normal Album Cover And Mashup)","Jayden Wark",25,165,"","Well, Better Than The Dialectics, But I Prefer You Use I/Me/Myself (Normal Album Cover And Mashup)",2022-09-12,06:05,34,87,8,0,66,0,10,-8,F#/G♭ Major,4,2025-07-24,6rYxaOWS0E8PkVzFoorODP,2B,QZPJ32196209
115,"Everything We Know a.k.a. Expiry Comes For Us All, Doesn't It Mr. Dusky? Now Please, You Need To Stop Staring At That Clock. We've Already Proved That Your Concept Of This  Supernal Standstill  Was False","Jayden Wark",18,143,"","The Vision Is Dead",2023-01-02,06:33,44,72,3,0,17,0,0,-8,C Major,4,2025-07-24,70vee4wwxUbgHPtCASKFVo,8B,QZTBC2393123
116,"…well, better than the alternative","Will Wood",52,171,"","The Normal Album",2020-07-10,04:14,52,80,33,0,68,10,60,-7,F Major,4,2025-07-24,51q8dtQBsoDWAMEcGhKsXa,7B,QZKWA2004472
117,"As Your Father I Expressly Forbid It","Lemon Demon",43,155,"","Spirit Phone",2016-02-29,02:53,58,69,0,3,92,0,30,-7,C♯/D♭ Major,4,2025-07-24,29L9B2aDs2NhrQGbs8pf9M,3B,TCACM1645313
118,"Wealth & Hellness","Human Zoo,Will Wood",0,144,"","Wealth & Hellness",2022-10-05,03:37,39,75,24,0,42,0,20,-5,A Major,3,2025-07-24,66sB97UDbEdPKH8RGt8EmI,11B,QZNWY2287903
119,"Outliars and Overreactions (The Song With One Name)","Jayden Wark",36,185,"","Outliars and Overreactions (The Song With One Name)",2022-11-08,04:18,46,90,6,0,85,0,10,-8,A Minor,4,2025-07-24,6RTLVvKpsFBeR8ubfwkW8o,8A,QZPJ32211463
120," Blue Velvet  Reboot Starring Tom Waits (Suburbia Overture 2024 Edit)","Will Wood",49,111,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,06:19,43,80,42,0,48,10,30,-6,C Major,4,2025-07-24,1JoPvtmKReSeuU2jCpJa56,8B,QZTB42455065
121,"Second Sight Seer! S! (2222024 Edit)","Will Wood",48,150,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,03:26,57,97,4,0,81,0,20,-5,C Major,4,2025-07-24,3Xi4t7c6marPCAFLWDo5kB,8B,QZTB42455066
122,"The Moral Implications of a Deterministic Universe feat. The Onceler (Laplace's Angel 2024 Edit)","Will Wood",50,150,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,04:03,55,90,10,0,85,0,0,-5,A Minor,4,2025-07-24,7MEBUp6YzTr0exUAhwCEHu,8A,QZTB42455067
123,"I / Me / Myself (2024 Edit)","Will Wood",45,172,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,04:51,49,95,12,0,85,0,60,-4,G Major,4,2025-07-24,49YY1PskT6GJABN4Q2dI7U,9B,QZTB42455068
124,"...well, better than the alternative (Better Alternative Edit)","Will Wood",44,171,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,04:16,53,81,36,0,81,10,60,-6,F Major,4,2025-07-24,3QXeIMnNWTGPx4QH7SYU9A,7B,QZTB42455069
125,"I Lied About the Apple Thing (Skeleton-Bones Edition)","Will Wood",48,87,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,04:14,38,88,5,0,51,20,0,-5,A Minor,1,2025-07-24,7pXlXVBkL3mt64F667x8la,8A,QZTB42455070
126,"Ideas Only Spread Because People Like Them, the  Free Market of Ideas  is not a Meritocracy, it's a Set of Unhealthy Coping Skills and a Corporate Oligarchy, Wake Up, Man! Don't Let the Lies Dim Your Light! anyway this one's black box warrior (2024 edit)","Will Wood",46,161,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,04:51,58,94,11,0,76,10,10,-6,G Minor,4,2025-07-24,1UCQE72hW0bTcdzFsU33Fu,6A,QZTB42455071
127,"Karen, Thannsdfghjkl You for the Casserole, But I Need You to Lea-n into a Typo (Marsha 2024 Edit)","Will Wood",43,167,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,05:19,32,67,12,0,46,0,10,-13,F Major,4,2025-07-24,2Mz48svCnY6EywCRaAKeuR,7B,QZTB42455072
128,"A Knee-Slapping Joke Title Referring to How Ending Tracks on Will Wood Albums Are Always Kind of Like That (Memento Mori 2024 Edit)","Will Wood",45,120,"","The New Normal! (The Normal Album 2024 Edit)",2024-08-09,02:51,71,57,61,0,69,0,70,-8,C Major,4,2025-07-24,3U3wFAjpuaVzU9tXIqExzJ,8B,QZTB42455073
129,"Over the Hill","Ginger Root",46,92,"city pop","Over the Hill",2022-08-24,02:47,77,91,52,61,94,0,10,-5,G#/A♭ Major,4,2025-07-24,5eFwQOHNE0zOwMRj9jhzGt,4B,FRIDO2211707
130,"Nisemono","Ginger Root",37,115,"city pop","Nisemono",2022-09-09,03:01,83,82,58,78,97,0,10,-5,C♯/D♭ Major,4,2025-07-24,2pKk2VK9uSKfAq9rtDPJef,3B,FRIDO2211801
131,"Juban District","Ginger Root",49,125,"city pop","Juban District",2021-07-21,03:21,83,82,51,56,89,0,20,-5,B Minor,4,2025-07-24,0MTxfrDnNX0cIQkWhCm58d,10A,FRIDO2110991
132,"Le château","Ginger Root",56,119,"city pop","Rikki",2020-10-23,02:35,72,62,85,88,61,0,10,-7,A Minor,4,2025-07-24,3KhPLLQjXodVQU9FoIlCUh,8A,QZ93L2041035
133,"Kimiko!","Ginger Root",32,140,"city pop","Nisemono",2022-09-09,01:14,61,75,36,34,68,0,0,-5,D Major,4,2025-07-24,3km0NKHBmEoJjYTzxQwKJL,10B,FRIDO2211800
134,"A Cruel Angel's Thesis (Neon Genesis Evangelion Theme Rework)","Ginger Root",44,128,"city pop","A Cruel Angel's Thesis (Neon Genesis Evangelion Theme Rework)",2021-02-16,03:55,90,72,67,58,82,10,20,-5,C Minor,4,2025-07-24,0frqCgCODyMlt7KEWrS2T2,5A,FRIDO2110233
135,"Whose Eye Is It Anyway???","Jhariah",47,114,"","To Mend the Sun",2020-03-27,02:43,31,81,0,0,20,0,10,-6,A#/B♭ Minor,4,2025-07-24,480xcT2WmBvhMtKd9jj7ey,3A,QZFZ62021638
136,"EAT YOUR FRIENDS","Jhariah,Pinkshift",44,115,"riot grrrl, queercore","TRUST CEREMONY",2024-04-19,03:14,25,92,0,0,43,0,70,-5,D#/E♭ Minor,5,2025-07-24,12uWjDyyneE3BwZ8IUs1GM,2A,QZGLS2472366
137,"Simple Science","Cricket!",30,92,"folk punk, anti-folk","Simple Science",2023-11-03,02:02,55,75,80,0,92,0,10,-9,A Minor,4,2025-07-24,066FVGFLw0qS6a0L9Dqmr8,8A,QZTBB2345631
138,"Aphrodite, Your Electric Sexiness (Upgrade)","Human Zoo,Will Wood",41,108,"","Aphrodite, Your Electric Sexiness (Upgrade)",2024-06-12,02:55,42,66,7,0,52,0,0,-5,F#/G♭ Minor,4,2025-07-24,51naRp8eDgfFTV0bMwdsqg,11A,QZMEN2448716
139,"COLLARBONE","Jhariah",36,83,"","TRUST CEREMONY",2024-04-19,00:50,24,65,79,0,38,0,40,-5,C Major,1,2025-07-24,4XxsWO8aIkKUS92ImozOXD,8B,QZGLS2472362
140,"PRESSURE BOMB 2!!!! (Bonus Track)","Jhariah",34,110,"","A BEGINNER'S GUIDE TO FAKING YOUR DEATH",2021-07-23,03:10,52,71,0,2,24,0,30,-6,G Major,4,2025-07-24,50LyRjl5aWxEGnGezhiAU8,9B,QZK6P2139538
141,"JUST BE COMPETENT","r u s s e l b u c k",42,135,"speedcore, breakcore, hyperpop","RAVEPOP",2024-09-06,02:36,53,92,0,8,68,20,20,-5,G Major,4,2025-07-24,1HeCul0EgK2qYVvEMQLj4b,9B,QZK6P2082794
142,"Falling Up","Will Wood",48,147,""," In case I make it, ",2022-07-29,04:47,61,69,53,0,50,0,10,-6,G Major,4,2025-07-24,7wODSzEfLdEfswBfe9XfoX,9B,GBRKQ2263807
143,"Vampire Reference in a Minor Key","Will Wood",53,109,""," In case I make it, ",2022-07-29,04:38,72,46,88,0,33,0,10,-8,A Minor,4,2025-07-24,6yF5PIbuoQFBn5On5Fual4,8A,GBRKQ2263774
144,"Sex, Drugs, Rock 'n' roll","Will Wood",46,60,""," In case I make it, ",2022-07-29,05:03,35,41,79,4,20,0,10,-8,G Major,3,2025-07-24,7KBj1DNSAClphbR4OhYXlJ,9B,QZMEQ2174540
145,"Big Fat Bitchie’s Blueberry Pie, Christmas Tree, and Recreational Jell-O Emporium a.K.a. “Mr. Boy Is on the Roof Again” (From “B.F.B.'s B-Sides: Bagel Batches, Marsh-Mallows, & Barsh-Mallows )","Will Wood",42,138,""," In case I make it, ",2022-07-29,00:47,76,56,14,0,100,0,0,-9,C Major,4,2025-07-24,1wr5L0gFUeXnttraU0t8nJ,8B,GBRKQ2263798
146,"Savages","That Handsome Devil",0,148,"","History Is a Suicide Note",2017-04-14,04:41,68,96,16,0,86,0,0,-6,B Major,4,2025-07-24,4QOXg01nSpCVzFUGXBZ4vy,1B,TCADA1732044
147,"Devil's Train","The Lab Rats",56,91,"","Half Full Ashtrays, Half Empty Glasses",2006-01-01,05:55,67,67,46,0,77,30,10,-8,D Major,4,2025-07-24,069qGKeTqlWGD8lphrGG9R,10B,USGUC0600005
148,"Les Champs-Elysées","Pomplamoose,John Schroeder",54,107,"","En Français",2020-04-17,03:04,63,52,18,0,57,0,20,-7,C Major,4,2025-07-24,4dPITmujWbI8ibU1QVidCE,8B,QZGWW2021181
149,"Sous le Ciel de Paris","Pomplamoose,Ross Garren",53,202,"","En Français",2020-04-17,02:59,35,43,74,0,42,0,10,-8,F Minor,3,2025-07-24,2NCue3WpFMA2DfQrwCZMwp,4A,QZGWW2011361
150,"Aikido! (Neurotic / Erotic) - 2020 Remastered Version","Will Wood and the Tapeworms",34,73,"","Everything is a Lot (2020 Remastered Version)",2020-12-25,02:42,46,62,75,0,61,0,10,-7,G Major,4,2025-07-24,6PLTRGEdCauciXM8YDCbUM,9B,USCGH2118274
151,"We Killed Amanda Palmer, Mystery Solved","A Verbal Equinox",29,165,"","And the Ringmaster Is Pleased to Introduce...",2013-01-19,03:10,38,79,4,0,64,0,0,-8,A Major,4,2025-07-24,34HzMpVKUz8GR2Fe4NQR2b,11B,usx9p1274721
152,"If We're Not Careful, We'll Turn Into Alcoholics. I Mean... Catholics","A Verbal Equinox",27,90,"","And the Ringmaster Is Pleased to Introduce...",2013-01-19,04:08,46,85,2,0,66,0,0,-6,G Major,4,2025-07-24,2re3f4GkrBvgP3AMNlQNQz,9B,usx9p1274729
153,"Nüburbåtizé!","A Verbal Equinox",32,135,"","And the Ringmaster Is Pleased to Introduce...",2013-01-19,03:23,31,76,3,0,84,0,10,-8,G Minor,4,2025-07-24,2CM7ips0tomqMbxKWoiARR,6A,usx9p1274722
154,"Drugs Ain't Cheap in Poughkeepsie","A Verbal Equinox",30,130,"","And the Ringmaster Is Pleased to Introduce...",2013-01-19,02:44,50,66,20,0,49,0,0,-9,F Minor,4,2025-07-24,3auOIkkK3zkzz98dka9USs,4A,usx9p1274724
155,"Sing the Singer/Songwriter Song","A Verbal Equinox",31,190,"","And the Ringmaster Is Pleased to Introduce...",2013-01-19,01:42,34,63,61,0,65,0,10,-10,E Minor,3,2025-07-24,4DWSITIa6rcYGVvMZzhnv3,9A,usx9p1274727
